,mt,mr,mre,mp
0,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",4.1,"1,04,861 Ratings & 6,529 Reviews","₹1,247₹1,59721% off"
1,"Motorola G34 5G (Ocean Green, 128 GB)",4.2,"99,190 Ratings & 6,953 Reviews","₹11,999₹14,99920% off"
2,"Motorola g64 5G (Mint Green, 128 GB)",4.2,"15,525 Ratings & 800 Reviews","₹13,999₹17,99922% off"
3,"POCO M6 Pro 5G (Power Black, 128 GB)",4.2,"1,10,968 Ratings & 6,892 Reviews","₹9,999₹16,99941% off"
4,"Motorola g64 5G (Ice Lilac, 128 GB)",4.2,"15,525 Ratings & 800 Reviews","₹13,999₹17,99922% off"
5,"Motorola G34 5G (Ice Blue, 128 GB)",4.2,"99,190 Ratings & 6,953 Reviews","₹11,999₹14,99920% off"
6,"Motorola G34 5G (Charcoal Black, 128 GB)",4.2,"99,190 Ratings & 6,953 Reviews","₹11,999₹14,99920% off"
7,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)",4.4,"96,107 Ratings & 5,207 Reviews","₹17,056₹19,99914% off"
8,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",4.1,"1,04,861 Ratings & 6,529 Reviews","₹1,249₹1,59921% off"
9,"Motorola g64 5G (Pearl Blue, 128 GB)",4.2,"15,525 Ratings & 800 Reviews","₹13,999₹17,99922% off"
10,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)",4.4,"96,107 Ratings & 5,207 Reviews","₹17,288₹19,99913% off"
11,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)",4.4,"96,107 Ratings & 5,207 Reviews","₹18,999₹21,99913% off"
12,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)",4.4,"96,107 Ratings & 5,207 Reviews","₹18,697₹21,99915% off"
13,"Motorola g04s (Satin Blue, 64 GB)",4.2,"5,731 Ratings & 324 Reviews","₹6,999₹9,99930% off"
14,"REDMI 13C (Starshine Green, 128 GB)",4.3,"28,648 Ratings & 1,196 Reviews","₹7,699₹11,99935% off"
15,"Motorola g64 5G (Ice Lilac, 256 GB)",4.2,"9,741 Ratings & 574 Reviews","₹15,999₹19,99920% off"
16,"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)",4.5,"20,037 Ratings & 1,118 Reviews","₹22,999₹25,99911% off"
17,"POCO C65 (Pastel Blue, 128 GB)",4.3,"32,998 Ratings & 1,800 Reviews","₹6,999₹10,99936% off"
18,"POCO C65 (Pastel Green, 128 GB)",4.3,"32,998 Ratings & 1,800 Reviews","₹6,999₹10,99936% off"
19,"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)",4.5,"15,703 Ratings & 1,017 Reviews","₹24,999₹27,99910% off"
20,"POCO M6 Pro 5G (Forest Green, 128 GB)",4.2,"1,10,968 Ratings & 6,892 Reviews","₹9,999₹16,99941% off"
21,"POCO C65 (Pastel Blue, 128 GB)",4.2,"9,813 Ratings & 522 Reviews","₹7,499₹11,99937% off"
22,"REDMI 13C (Starfrost White, 128 GB)",4.3,"28,648 Ratings & 1,196 Reviews","₹7,699₹11,99935% off"
23,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",4.1,"1,04,861 Ratings & 6,529 Reviews","₹1,257₹1,39910% off"
